CustomerID,Age,MonthlySpend,Tenure,SupportCalls,PlanType,SubscriptionType,MonthlyCharges,Churn
1,35,77.91860121562635,18,0,Two year,free,998.8498402934175,Yes
2,46,53.040104639148105,32,0,Two year,premium,1049.3232560071906,No
3,52,87.8852095270022,38,3,One year,super,970.9043706792552,Yes
4,44,80.08461919275852,23,2,Month-to-month,free,946.0874167214824,No
5,49,56.71115735677109,17,3,Month-to-month,super,1166.1264249192386,Yes
6,36,112.17485053890857,44,4,Two year,mobile,1155.957608188324,Yes
7,28,136.32002510201116,6,4,Month-to-month,free,800.0463533003035,Yes
8,53,102.68220607851882,10,2,One year,mobile,1088.521071722546,No
9,32,38.64570457173955,30,2,Month-to-month,premium,863.5458883785703,Yes
10,53,126.06486462150478,55,2,Two year,premium,1248.5205043293677,No
11,69,65.98965498899153,7,2,Month-to-month,super,1132.2924710253337,Yes
12,60,118.062865466691,11,4,Two year,premium,729.2440553212175,Yes
13,49,115.20781080715928,24,0,Two year,super,785.120651713912,No
14,69,140.5749886816285,34,0,Month-to-month,mobile,1182.0274955905438,No
15,23,94.69163688923658,25,4,Two year,premium,802.8238609201767,Yes
16,65,101.1672128858227,9,4,Two year,mobile,935.6109726596858,No
17,47,124.53622057617456,28,0,Two year,premium,827.2208665098402,No
18,67,85.99146017212844,4,3,One year,super,965.0527311861372,No
19,24,112.5952220419163,45,1,Two year,free,869.1584799248624,Yes
20,40,161.2209677031858,7,1,One year,super,847.5920279645453,No
21,45,111.41522994686265,30,4,Month-to-month,free,987.8509378878697,Yes
22,55,78.10088305148574,57,4,One year,premium,1022.5176772713946,Yes
23,58,96.45886757488267,42,0,One year,mobile,850.1609515870183,No
24,30,79.37967920271751,8,3,One year,free,1187.6140676212829,Yes
25,47,64.07874180121323,42,0,Month-to-month,premium,884.0059895584671,Yes
26,24,75.05697903122743,38,2,Two year,super,1146.9996043459462,Yes
27,49,82.06363696523681,26,1,One year,premium,866.0902603113718,Yes
28,19,132.04390478352178,44,3,Two year,mobile,816.6823979232452,No
29,43,70.81856194290278,16,2,One year,mobile,1132.604264002749,No
30,20,134.40009910790008,39,3,Two year,mobile,978.572565671859,No
31,35,152.54674857398305,8,0,One year,free,668.0539709672662,No
32,49,142.03250265176126,24,0,Month-to-month,free,878.0293830567164,No
33,56,41.11821273439463,3,4,Two year,free,1005.6755402554852,Yes
